id_actividadæid_tipo_componenteæCom_Lubætipo_consumidoæcantidad_consumida
907994æ25æGæ1    æ32æ
907996æ25æGæ1    æ86æ
908001æ25æGæ1    æ83æ
908002æ25æGæ1    æ50æ
908004æ25æGæ1    æ43.73æ
908005æ25æGæ1    æ58æ
908010æ25æGæ1    æ83æ
908022æ25æGæ1    æ61æ
908028æ25æGæ1    æ50æ
908032æ25æGæ1    æ39æ
908034æ25æGæ1    æ72æ
908036æ25æGæ1    æ60.5æ
908042æ25æGæ1    æ56æ
908046æ25æGæ1    æ24æ
908049æ25æGæ1    æ55æ
908050æ25æGæ1    æ12æ
908068æ25æGæ1    æ53æ
908075æ25æGæ1    æ50æ
908080æ25æGæ1    æ10.228æ
908083æ25æGæ1    æ78æ
908087æ25æGæ1    æ82æ
908088æ25æGæ1    æ54æ
908113æ25æGæ1    æ14æ
908119æ25æGæ1    æ12æ
908125æ25æGæ1    æ12æ
908135æ25æGæ1    æ20æ
908137æ25æGæ1    æ54æ
908139æ25æGæ1    æ43æ
908143æ25æGæ1    æ11æ
908147æ25æGæ1    æ64æ
908150æ25æGæ1    æ41æ
908154æ25æGæ1    æ86.5æ
908159æ25æGæ1    æ40æ
908166æ25æGæ1    æ27æ
908171æ25æGæ1    æ54æ
908176æ25æGæ1    æ71æ
908183æ25æGæ1    æ62æ
908193æ25æGæ1    æ12æ
908201æ25æGæ1    æ14æ
908202æ25æGæ1    æ14æ
908205æ25æGæ1    æ12æ
908228æ25æGæ1    æ49æ
908281æ25æGæ1    æ60æ
908285æ25æGæ1    æ68æ
908291æ25æGæ1    æ69æ
908294æ25æGæ1    æ35æ
908298æ25æGæ1    æ14æ
908300æ25æGæ1    æ71æ
908309æ25æGæ1    æ80æ
908311æ25æGæ1    æ41æ
908314æ25æGæ1    æ50æ
908317æ25æGæ3    æ75æ
908318æ25æGæ1    æ82æ
908319æ25æGæ1    æ18æ
908322æ25æGæ1    æ80æ
908325æ25æGæ1    æ52æ
908326æ25æGæ1    æ50æ
908327æ25æGæ1    æ10æ
908328æ25æGæ1    æ76æ
908329æ25æGæ1    æ22æ
908340æ25æGæ1    æ59.78æ
908348æ25æGæ1    æ65.5æ
908349æ25æGæ1    æ50æ
908350æ25æGæ1    æ48æ
908352æ25æGæ1    æ63æ
908353æ25æGæ1    æ39æ
908356æ25æGæ1    æ65æ
908358æ25æGæ1    æ40æ
908359æ25æGæ1    æ35.62æ
908361æ25æGæ1    æ20æ
908363æ25æGæ1    æ42æ
908364æ25æGæ1    æ45æ
908366æ25æGæ1    æ60æ
908369æ25æGæ1    æ39æ
908370æ25æGæ1    æ30æ
908373æ25æGæ1    æ23.8æ
908379æ25æGæ1    æ52æ
908382æ25æGæ1    æ29æ
908383æ25æGæ1    æ39æ
908385æ25æGæ1    æ42æ
908387æ25æGæ1    æ37æ
908388æ25æGæ1    æ33æ
908391æ25æGæ1    æ44æ
908393æ25æGæ1    æ41æ
908394æ25æGæ1    æ38æ
908395æ25æGæ1    æ83æ
908398æ25æGæ1    æ42æ
908403æ25æGæ1    æ76.3æ
908407æ25æGæ1    æ49æ
908411æ25æGæ1    æ54æ
908412æ25æGæ1    æ65æ
908415æ25æGæ1    æ48æ
908416æ25æGæ1    æ76.87æ
908419æ25æGæ1    æ45æ
908420æ25æGæ1    æ75æ
908424æ25æGæ1    æ44.57æ
908425æ25æGæ1    æ23.39æ
908427æ25æGæ1    æ37.4æ
908436æ25æGæ1    æ45.6æ
908447æ25æGæ1    æ56æ
908453æ25æGæ1    æ50.6æ
908456æ25æGæ1    æ74.6æ
908465æ25æGæ1    æ26æ
908467æ25æGæ1    æ69æ
908470æ25æGæ1    æ72.5æ
908473æ25æGæ1    æ59æ
908479æ25æGæ1    æ94æ
908480æ25æGæ1    æ65æ
908482æ25æGæ1    æ63.15æ
908486æ25æGæ1    æ74æ
908491æ25æGæ1    æ54æ
908493æ25æGæ1    æ47æ
908495æ25æGæ1    æ37æ
908500æ25æGæ1    æ40æ
908501æ25æGæ1    æ25æ
908504æ25æGæ1    æ32æ
908505æ25æGæ1    æ40æ
908507æ25æGæ1    æ30æ
908508æ25æGæ1    æ124æ
908511æ25æGæ1    æ69æ
908516æ25æGæ1    æ53æ
908517æ25æGæ1    æ79æ
908519æ25æGæ1    æ51.5æ
908521æ25æGæ1    æ129æ
908524æ25æGæ1    æ54æ
908525æ25æGæ1    æ68.7æ
908526æ25æGæ1    æ65.4æ
908528æ25æGæ1    æ49æ
908530æ25æGæ1    æ79æ
908531æ25æGæ1    æ44æ
908532æ25æGæ1    æ40æ
908537æ25æGæ1    æ75æ
908538æ25æGæ1    æ43æ
908540æ25æGæ1    æ35æ
908542æ25æGæ1    æ51æ
908545æ25æGæ1    æ50æ
908562æ25æGæ1    æ24æ
908564æ25æGæ1    æ25æ
908567æ25æGæ1    æ15æ
908568æ25æGæ1    æ15æ
908571æ25æGæ1    æ77.95æ
908574æ25æGæ1    æ50æ
908577æ25æGæ1    æ67æ
908579æ25æGæ1    æ50æ
908581æ25æGæ1    æ70æ
908588æ25æGæ1    æ68æ
908591æ25æGæ1    æ31æ
908592æ25æGæ1    æ9.859æ
908596æ25æGæ1    æ17æ
908597æ25æGæ1    æ9æ
908598æ25æGæ1    æ8æ
908599æ25æGæ1    æ12æ
908601æ25æGæ1    æ8æ
908602æ25æGæ1    æ6æ
908603æ25æGæ1    æ12æ
908604æ25æGæ1    æ7æ
908605æ25æGæ1    æ5æ
908606æ25æGæ1    æ9æ
908612æ25æGæ1    æ14æ
908614æ25æGæ1    æ52æ
908626æ25æGæ1    æ14æ
908631æ25æGæ1    æ12æ
908636æ25æGæ1    æ15æ
908638æ25æGæ1    æ10æ
908640æ25æGæ1    æ12æ
908641æ25æGæ1    æ9æ
908642æ25æGæ1    æ11æ
908644æ25æGæ1    æ12æ
908659æ25æGæ1    æ14æ
908661æ25æGæ1    æ12æ
908662æ25æGæ1    æ11æ
908663æ25æGæ1    æ61æ
908665æ25æGæ1    æ52.704æ
908666æ25æGæ1    æ12æ
